Date,Open,High,Low,Close,Volume
2024-01-26,54.860842,55.374874,54.522999,55.0,7449075
2024-01-29,54.799,57.067516,54.361226,56.643568,3792696
2024-01-30,56.667107,57.248428,56.544124,56.98868,4774882
2024-01-31,56.929555,58.168064,56.432959,57.709201,3323188
2024-02-01,57.853769,60.31492,57.663276,59.736397,734028
2024-02-02,59.741529,60.626362,59.662673,60.243929,5210318
2024-02-05,60.278015,60.612864,59.876621,60.081047,2705565
2024-02-06,60.238638,60.521585,59.150865,59.412167,5559993
2024-02-07,59.362457,59.673815,59.044506,59.353245,932828
2024-02-08,59.333808,59.757066,58.362495,58.369538,792490
2024-02-09,58.599997,59.114919,58.253475,59.01123,5384967
2024-02-12,58.970296,59.607007,58.670144,59.263769,5502202
2024-02-13,59.154937,59.53869,58.466389,58.81882,2157623
2024-02-14,58.676831,58.938433,57.83791,57.860184,789852
2024-02-15,57.69919,57.894936,57.290509,57.598789,6622057
2024-02-16,57.457274,58.02066,56.916623,57.333193,2836555
2024-02-19,57.349824,57.642835,57.145142,57.159418,5821765
2024-02-20,57.083164,57.457425,56.249993,56.586919,593270
2024-02-21,56.495957,57.380897,56.257646,57.07139,7128298
2024-02-22,56.846403,58.518118,56.443882,58.160503,6196966
2024-02-23,58.146485,58.691704,57.130109,57.610431,7965486
2024-02-26,57.521806,57.935271,57.346614,57.379905,2342028
2024-02-27,57.455349,57.888808,56.502633,56.921905,6407286
2024-02-28,56.856922,57.418415,56.465385,57.365177,693934
2024-02-29,57.353606,57.534177,57.136629,57.199146,7719184
2024-03-01,57.321805,57.783914,56.969264,57.010701,7479536
2024-03-04,57.145886,57.893076,56.813241,57.343267,7427408
2024-03-05,57.159247,57.361715,56.024649,56.379249,3823235
2024-03-06,56.419534,56.835626,55.386984,55.787745,3285927
2024-03-07,55.889119,55.997464,55.2936,55.445078,2678683
2024-03-08,55.241087,55.673986,54.12508,54.341368,6339925
2024-03-11,54.270277,54.292057,53.778976,54.087396,1886767
2024-03-12,53.903466,54.394764,52.914946,53.250418,2996571
2024-03-13,53.297234,53.574301,52.75181,53.245456,1695673
2024-03-14,53.323632,54.979163,53.098408,54.800101,1805084
2024-03-15,54.722791,56.353409,54.604182,55.826608,4667436
2024-03-18,55.736807,56.121751,55.574622,55.774898,3145226
2024-03-19,55.989879,57.365806,55.871019,57.111647,4440354
2024-03-20,56.937416,57.545373,56.53653,57.096214,2409667
2024-03-21,57.215743,58.46468,56.740069,57.892359,3659745
2024-03-22,58.026048,58.266005,56.878389,57.138011,6536346
2024-03-25,57.231564,57.939555,57.00428,57.525245,2562603
2024-03-26,57.59319,57.834007,56.36048,56.61723,5560888
2024-03-27,56.431361,57.612291,56.006472,57.484295,4079579
2024-03-28,57.272348,58.910798,57.025176,58.394186,5641946
2024-03-29,58.517095,58.963272,57.455565,57.836259,1540672
2024-04-01,57.837756,58.787695,57.670737,58.605053,4113179
2024-04-02,58.419279,59.398027,58.245318,59.243618,7582356
2024-04-03,59.45599,59.717314,58.288259,58.792524,1477612
2024-04-04,58.72173,59.231202,58.214021,58.694547,7380340
2024-04-05,58.495245,60.109817,58.484253,59.54891,7838916
2024-04-08,59.479199,60.787372,58.92694,60.486145,2895301
2024-04-09,60.30765,60.896789,59.243401,59.578037,4205698
2024-04-10,59.811567,61.260228,59.507329,61.081061,4053880
2024-04-11,60.978207,61.269117,60.648421,61.033298,1390481
2024-04-12,61.037433,61.740571,60.49635,61.313908,7407489
