Date,Open,High,Low,Close,Volume
2024-01-26,179.685117,180.398991,177.993219,180.0,3766152
2024-01-29,180.128204,181.157227,178.085565,179.015629,1479040
2024-01-30,178.527022,180.039765,176.905818,178.491599,3232964
2024-01-31,177.951887,184.326948,177.66141,182.579429,7890274
2024-02-01,182.339657,183.304931,181.367585,181.732466,3541160
2024-02-02,181.10212,182.334345,177.583599,179.160624,2213021
2024-02-05,179.79723,179.890906,179.069409,179.762881,5350805
2024-02-06,180.269446,181.946976,178.866071,180.101856,1011741
2024-02-07,180.276508,182.105394,178.841438,181.415215,7854476
2024-02-08,181.774829,182.973013,180.366825,180.79884,7950076
2024-02-09,180.508415,185.005277,178.878879,183.592308,7867829
2024-02-12,183.411504,185.249919,182.499603,184.806338,1772809
2024-02-13,185.144893,190.459956,184.170945,189.749111,1692602
2024-02-14,189.138385,191.722937,188.834187,190.943977,7316640
2024-02-15,190.435211,192.216733,189.016794,191.543026,524393
2024-02-16,192.207655,196.248146,191.788768,194.430011,4405907
2024-02-19,194.806143,197.428406,193.819137,196.277967,3348994
2024-02-20,195.761318,196.160475,193.761274,194.849539,4582716
2024-02-21,194.093728,198.036713,192.240227,196.566853,5334107
2024-02-22,195.99445,197.341275,194.752325,195.333516,3312699
2024-02-23,195.698005,198.492177,194.222568,197.900561,2889043
2024-02-26,198.324951,198.410013,195.887349,196.841915,1857292
2024-02-27,197.00959,198.547314,195.403463,197.673868,687773
2024-02-28,197.736109,199.161019,194.88858,196.203557,4253959
2024-02-29,196.5655,197.435206,195.812042,196.980978,1242077
2024-03-01,196.656908,200.298775,195.974227,199.899528,3555066
2024-03-04,199.930383,203.733736,199.225799,202.382077,871014
2024-03-05,202.011003,202.738424,199.278698,201.166156,7221574
2024-03-06,201.820307,203.140551,197.322649,198.531536,1982259
2024-03-07,198.456077,201.622064,197.652396,200.08079,5140084
2024-03-08,200.467132,201.562473,196.877977,198.785951,3990846
2024-03-11,198.971908,199.100587,196.231907,197.327136,2387367
2024-03-12,197.228982,199.226621,196.203745,198.827885,7891569
2024-03-13,198.933672,200.2119,195.783507,196.443415,7168343
2024-03-14,196.382431,199.505797,196.23299,198.172754,5267300
2024-03-15,198.540321,200.558897,197.83123,200.475915,6000123
2024-03-18,200.020721,201.278689,199.003452,200.629804,6656986
2024-03-19,199.843908,200.462502,197.679947,198.882044,2734806
2024-03-20,198.652895,198.852457,198.211447,198.53969,5493206
2024-03-21,198.102118,202.590412,197.02027,201.721338,5176659
2024-03-22,201.694895,202.850743,200.278572,202.218604,2819470
2024-03-25,201.623511,206.734267,200.66214,204.921503,4725274
2024-03-26,204.114333,205.225614,203.12747,205.14231,1419081
2024-03-27,204.881324,206.38571,204.625191,205.518477,2781417
2024-03-28,206.280792,207.527712,205.637725,206.033426,630735
2024-03-29,206.632775,207.13038,205.966342,206.419304,4119778
2024-04-01,206.16484,209.175333,205.226786,207.179887,7622557
2024-04-02,207.121221,209.593081,206.5133,209.105281,2452713
2024-04-03,208.765342,213.46636,206.923484,211.786548,2397669
2024-04-04,211.73353,212.784619,210.012785,211.575784,1459182
2024-04-05,211.475953,213.200175,209.016032,209.643799,765249
2024-04-08,209.244481,210.604488,206.756325,208.331226,3876667
2024-04-09,207.823458,208.354894,205.284483,206.453903,6061996
2024-04-10,207.011975,207.721147,202.00044,202.308591,1777573
2024-04-11,202.315162,202.503044,200.775489,202.411117,6357034
2024-04-12,202.702865,203.921866,200.392803,200.930431,3129847
2024-04-15,200.241075,206.157258,198.433489,204.820345,1796378
2024-04-16,204.303484,204.308796,202.881949,203.752994,2486778
2024-04-17,203.977357,205.961688,199.496565,200.931263,5649378
2024-04-18,201.163836,203.826145,199.255784,201.842968,2448963
2024-04-19,201.928783,202.733531,201.126314,201.936677,5859592
2024-04-22,201.3557,204.818342,200.710811,203.844656,533119
2024-04-23,203.547815,205.358219,202.68084,204.285474,7785180
2024-04-24,204.004835,209.670619,202.472278,208.353915,2481934
2024-04-25,209.021082,209.048662,206.269016,206.997397,6869982
2024-04-26,207.738799,207.757052,205.7618,207.616198,892526
2024-04-29,207.086065,207.143045,205.098558,206.787568,3513196
2024-04-30,206.909479,208.8865,205.678734,205.865148,700978
2024-05-01,206.038698,207.127391,201.923627,202.512411,608820
2024-05-02,203.119837,205.344592,201.374418,203.895466,3935192
2024-05-03,204.388134,205.051916,198.943006,200.591445,4645039
2024-05-06,200.165092,202.191629,198.662453,201.46182,4913781
2024-05-07,201.272058,203.202541,199.514601,202.510001,3878722
2024-05-08,202.118489,203.754778,200.16339,203.45726,7223018
2024-05-09,203.948262,204.028024,199.45438,200.306206,2403730
2024-05-10,199.570149,203.811503,199.36889,202.088669,924840
2024-05-13,201.444898,202.664565,199.292554,200.769245,3664596
2024-05-14,201.560696,202.581565,200.750704,201.685317,3801150
2024-05-15,201.218384,201.753175,199.902233,201.035812,4101146
2024-05-16,200.358937,207.230953,198.422486,205.197846,6192722
2024-05-17,205.114264,206.254491,203.168894,204.119898,778102
2024-05-20,203.304018,204.603874,202.756894,203.780433,798809
2024-05-21,203.597713,206.120132,203.429933,204.498971,505516
2024-05-22,204.85761,206.292821,200.49839,201.57699,2956831
2024-05-23,201.223242,202.933558,200.173462,200.707988,1714231
2024-05-24,201.035091,202.459013,198.786141,200.359264,5050293
2024-05-27,199.763939,202.544968,198.258149,200.982872,5269264
2024-05-28,200.84205,201.9501,199.901172,200.368292,836763
2024-05-29,199.913034,206.094509,198.016234,204.171867,3009095
2024-05-30,204.418086,209.307495,203.229388,208.355089,4265024
2024-05-31,208.128395,213.120017,207.742839,211.101249,2046938
2024-06-03,210.303828,211.966419,209.754755,211.165765,6200812
2024-06-04,211.986441,213.267776,211.351824,212.675278,7642307
2024-06-05,213.312266,217.496343,212.632295,217.38953,682424
2024-06-06,217.223276,222.467017,216.845231,221.492466,3451130
2024-06-07,221.07651,224.005741,220.755615,223.157742,6073898
2024-06-10,223.238046,224.317731,221.222174,222.080044,5635919
2024-06-11,222.94664,225.811397,221.492809,224.852706,4960822
2024-06-12,224.748932,227.314892,223.991598,226.79479,550902
2024-06-13,227.474323,228.28992,225.461397,227.135983,3997735
2024-06-14,227.764375,229.703777,224.792532,226.973649,4937218
2024-06-17,226.714922,227.612681,221.956625,224.038748,1428828
2024-06-18,223.629758,224.247443,219.694907,220.828033,2262336
2024-06-19,221.184405,223.038058,217.387781,218.119401,3211311
2024-06-20,218.50305,219.822117,218.446311,218.91786,1848036
2024-06-21,219.179153,220.747009,218.802732,219.530504,4649868
2024-06-24,218.793612,218.927045,215.999631,218.063263,1281289
2024-06-25,218.664772,220.529328,216.354103,217.660306,6369631
2024-06-26,218.108037,222.424247,216.264708,220.941383,4319279
2024-06-27,220.329021,221.972596,216.868163,218.414235,5439116
2024-06-28,218.136112,219.075973,215.59418,217.60243,1675400
2024-07-01,218.423715,218.936288,214.598602,215.076828,7043456
2024-07-02,215.904624,220.169219,215.640315,219.587032,6157570
2024-07-03,219.05388,220.826097,216.807998,218.86346,6261528
2024-07-04,219.382115,222.731819,217.296712,222.185372,4834732
2024-07-05,221.859805,225.905554,221.675193,224.044685,4126224
2024-07-08,223.78571,224.43572,222.298206,222.707057,2450220
2024-07-09,222.848941,224.348526,222.669663,224.27332,2405821
2024-07-10,224.996029,227.100619,224.557873,224.876854,3322388
2024-07-11,224.673324,227.269417,223.098862,226.122874,5597158
2024-07-12,226.352989,226.865081,225.921162,226.715049,6274602
2024-07-15,226.732074,229.617217,226.694302,228.311509,1984360
2024-07-16,229.105182,231.313789,226.823532,229.833347,1773689
2024-07-17,229.073014,229.512845,226.569877,228.1834,7307896
2024-07-18,228.976227,230.888312,227.286358,230.087873,3058605
2024-07-19,230.418725,232.713779,226.975415,228.39237,2708836
2024-07-22,228.934486,230.420363,224.585892,225.50211,4341787
2024-07-23,225.094355,226.609433,224.55952,224.741261,1205404
2024-07-24,223.938419,226.110355,221.407343,222.827431,2768724
2024-07-25,223.497061,223.554492,220.266514,221.423078,757530
2024-07-26,221.990655,223.701224,217.04075,219.09583,4041453
2024-07-29,218.59329,223.289868,218.058828,221.102662,2883147
2024-07-30,221.638728,223.727331,221.071868,223.191188,3037566
2024-07-31,222.376159,222.692445,221.686051,221.857524,4398567
2024-08-01,222.175487,225.839005,221.693802,224.999447,4789386
2024-08-02,225.334962,226.588869,224.700207,224.907636,542996
2024-08-05,225.29189,226.571263,221.97946,223.307617,3288588
2024-08-06,223.255169,223.911416,220.489504,221.110595,1837892
